BINAGE_TEMPERATURE_MAX_INF;[C];O;NA;NA;NA;NA;NA;NA;O;NA;NA;NA;NA;NA;NA
BINAGE_JOURS_TEMP_MAX_INF;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_RECOLTE;[NA];O;O;O;O;O;O;O;O;O;O;O;O;O;O
RECOLTE_PASSAGES;[NA];NA;1;1;1;1;1;1;NA;1;1;1;1;1;1
RECOLTE_OUTIL;[nom];NA;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse;NA;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse;Moissonneuse-batteuse
RECOLTE_AGRIW;[bool];N;Oui;Oui;Oui;Oui;Oui;Oui;N;Oui;Oui;Oui;Oui;Oui;Oui
RECOLTE_TEMPS;[Ha/h];1;0.0179;0.0179;0.0179;0.0179;0.0179;0.0179;1;0.0179;0.0179;0.0179;0.0179;0.0179;0.0179
RECOLTE_TEMPS_INTERNE;;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
RECOLTE_NB_SOUS_PERIODES;[NA];1;1;1;1;1;1;1;1;1;1;1;1;1;1
RECOLTE_DEBUT;[jour];1;258;258;258;258;258;258;1;258;258;258;258;258;258
RECOLTE_FIN;[jour];366;288;288;288;288;288;288;366;288;288;288;288;288;288
RECOLTE_ECHV_MIN;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_PLUIE;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_HAUTEURS_PLUIE_MAX;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RECOLTE_EFFET_RUs;[?];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
RECOLTE_OPERATEUR;[NA];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
RECOLTE_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
RECOLTE_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
RECOLTE_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
RECOLTE_JOURS_TEMP_MAX_INF;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_IRRIGATION;[NA];NA;N;N;N;N;N;N;NA;N;N;N;N;N;N
IRRIGATION_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_OUTIL;[nom];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_AGRIW;[bool];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_TD;[jours];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_DOSE;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_NB_SOUS_PERIODES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_DEBUT;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_FIN;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_ECHV_DEBUT;[echV];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_ECHV_FIN;[echV];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_PLUIE_CUMUL;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HAUTEUR_PLUIE_CUMUL_ANNULATION;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_PLUIE_SIGNIF;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HAUTEUR_PLUIE_SIGNIF_REPORT;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_PLUIE_PREVUES;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HAUTEURS_PLUIE_PREVUES_MIN;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_P-ETP;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_P-ETP_MAX;[mm];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HUMIDITE_SOL_MAX;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_IS_THEORIQUE;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR1;[?];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR2;[?];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR3;[?];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_OPERATEUR;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_REPORT_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_GROUPE;[];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MAX_INF;[C];;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MAX_INF;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_FERTI;[?];NA;N;N;N;N;N;N;NA;N;N;N;N;N;N
FERTI_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_OUTIL;[nom];;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_AGRIW;[bool];;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_NB_SOUS_PERIODES;[?];;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
